smb_id,category_id
1,1
1,2
2,11
4,7
6,1
7,14
8,4
9,3
13,14
14,3
15,3
16,2
17,3
18,3
19,3
20,2
21,4
22,4
23,1
24,1
25,4
28,3
29,4
30,3
31,1
32,2
34,14
35,14
36,1
37,1
38,5
40,14
41,2
44,2
45,2
50,1
52,11
53,3
54,2
54,3
55,1
56,3
57,14
58,1
59,1
60,2
61,14
62,3
63,3
64,3
65,2
65,3
66,2
69,14
70,14
71,14
72,14
73,7
75,7
76,1
77,1
78,11
79,1
74,7
82,14
83,2
5,16
10,16
12,17
26,17
39,16
49,9
67,16
68,18
44,18
89,2
90,4
91,4
94,2
95,2
3,15
99,14
100,13
100,16
100,17
101,13
101,16
101,17
102,13
102,16
103,5
105,13
105,18
106,13
106,16
106,17
107,2
107,18
109,14
111,14
112,1
114,14
115,15
117,4
120,15
96,15
122,14
123,2
124,2
126,2
128,2
129,5
130,16
131,5
132,3
133,3
134,3
135,4
136,14
137,7
138,14
139,14
140,11
140,13
141,2
143,1
144,9
145,2
146,18
147,11
1,3
5,17
6,18
11,16
11,18
12,16
16,16
18,1
18,2
27,1
27,3
31,3
32,3
33,16
37,2
37,3
42,3
43,3
46,2
46,18
49,4
49,14
50,2
50,3
65,1
80,3
81,3
83,3
84,3
87,3
86,1
86,3
93,17
110,3
119,3
121,1
124,3
125,3
127,3
141,3
143,2
143,3
108,5
48,3
148,17
149,3
149,16
150,3
151,3
152,3
153,3
154,3
155,9
156,2
157,2
158,1
158,3
159,1
159,3
160,1
160,3
161,1
161,3
162,1
163,1
163,3
164,4
113,3
166,1
168,16
170,3
171,1
171,3
173,1
173,3
167,2
175,1
175,3
176,3
177,2
177,3
178,13
179,2
179,3
180,2
180,3
181,3
182,1
182,3
183,3
184,2
185,2
186,1
188,3
191,1
187,2
193,1
194,2
195,2
196,3
197,2
198,2
199,3
200,1
201,2
203,3
204,3
205,3
207,2
208,2
209,2
210,3
211,3
212,1
214,2
215,1
217,3
218,3
219,1
220,1
221,2
222,3
223,3
226,1
228,3
229,1
231,2
233,16
234,16
235,16
236,16
237,3
245,3
246,2
247,16
251,2
252,2
254,3
255,3
256,3
257,3
258,3
259,2
260,3
261,2
253,3
238,3
239,3
244,3
249,3
240,3
262,1
264,3
265,16
267,3
269,3
270,3
271,3
273,3
